Jingyi,,,,Coords (top),,Coords (bottom),,,
Chart,Unit,Size,Letter,X,Y,X,Y,Height (px),Comments
1 :: Rodenstock,Decimal @ 40cm,0.1,V,847,322,759,543,221,I chose 322 as different points were 323 and 321
1 :: Rodenstock,Decimal @ 40cm,0.2,V,673,1073,713,1185,112,
1 :: Rodenstock,Decimal @ 40cm,0.25,W,724,1569,695,1660,91,
1 :: Rodenstock,Decimal @ 40cm,0.25,x,1012,1591,1012,1657,66,
1 :: Rodenstock,Decimal @ 40cm,0.25,w,2572,1585,2593,1651,66,
1 :: Rodenstock,Decimal @ 40cm,0.25,w,1331,1730,1311,1796,66,
1 :: Rodenstock,Decimal @ 40cm,0.32,W,672,2162,733,2232,70,
1 :: Rodenstock,Decimal @ 40cm,0.32,l,1349,2156,1348,2227,71,"This is a lowercase 'L', does this count as an uppercase letter?"
1 :: Rodenstock,Decimal @ 40cm,0.32,v,1365,2175,1382,2227,52,
1 :: Rodenstock,Decimal @ 40cm,0.32,w,2181,2171,2196,2224,53,
1 :: Rodenstock,Decimal @ 40cm,0.32,w,2478,2171,2492,2223,52,
1 :: Rodenstock,Decimal @ 40cm,0.4,F,683,2780,679,2836,56,
1 :: Rodenstock,Decimal @ 40cm,0.4,W,1791,2866,1807,2922,56,
1 :: Rodenstock,Decimal @ 40cm,0.4,l,2081,2772,2081,2828,56,"This is a lowercase 'L', does this count as an uppercase letter?"
1 :: Rodenstock,Decimal @ 40cm,0.4,w,1823,2974,1834,3015,41,
1 :: Rodenstock,Decimal @ 40cm,0.4,v,1053,2884,1069,2926,42,
1 :: Rodenstock,Decimal @ 40cm,0.5,T,688,3502,688,3548,46,
1 :: Rodenstock,Decimal @ 40cm,0.5,v,1218,3427,1230,3462,35,
1 :: Rodenstock,Decimal @ 40cm,0.5,x,2685,3422,2707,3456,34,
1 :: Rodenstock,Decimal @ 40cm,0.5,w,2533,3505,2503,3539,34,
1 :: Rodenstock,Decimal @ 40cm,0.63,Y,1552,3911,1564,3947,36,
1 :: Rodenstock,Decimal @ 40cm,0.63,N,1636,3970,1635,4005,35,
1 :: Rodenstock,Decimal @ 40cm,0.63,w,1096,3922,1105,3949,27,
1 :: Rodenstock,Decimal @ 40cm,0.63,v,1360,3980,1369,4006,26,
1 :: Rodenstock,Decimal @ 40cm,0.63,w,2733,3916,2741,3943,27,
1 :: Rodenstock,Decimal @ 40cm,0.8,Y,1684,4335,1694,4364,29,
1 :: Rodenstock,Decimal @ 40cm,0.8,T,821,4394,820,4423,29,
1 :: Rodenstock,Decimal @ 40cm,0.8,v,972,4346,980,4367,21,
1 :: Rodenstock,Decimal @ 40cm,0.8,w,1581,4343,1588,4364,21,
1 :: Rodenstock,Decimal @ 40cm,0.8,z,1514,4398,1517,4419,21,
2 :: Silhouette,Point,32,I,4363,810,4370,987,177,
2 :: Silhouette,Point,32,E,5140,807,5146,985,178,
2 :: Silhouette,Point,32,M,4537,1059,4351,1237,178,
2 :: Silhouette,Point,32,w,5642,864,5604,987,123,
2 :: Silhouette,Point,16,w,5133,1707,5112,1769,62,
