Myra,,,,Coords (top),,Coords (bottom),,,,
Chart,Unit,Size,Letter,X,Y,X,Y,Height (px),Comments,Chart type
15 :: Howell,N size,7,H,2766,911,2765,950,39,,Scanned
15 :: Howell,N size,7,H,3533,972,3534,1011,39,,Scanned
15 :: Howell,N size,7,T,4075,921,4078,960,39,Taken the majority of the highest points (because there is one extra pixel at the top and bottom),Scanned
15 :: Howell,N size,7,w,3713,876,3718,902,26,,Scanned
15 :: Howell,N size,7,v,2366,1028,2371,1054,26,,Scanned
15 :: Howell,N size,7,w,4052,1097,4056,1122,25,,Scanned
15.2 :: Howell,N size,4,,,,,,,No appropriate letters,Scanned
15.2 :: Howell,N size,4,v,1076,266,1082,289,23,,Scanned
15.2 :: Howell,N size,4,z,1148,266,1147,290,24,,Scanned
15.2 :: Howell,N size,6,,,,,,,No appropriate letters,Scanned
15.2 :: Howell,N size,9,z,1064,369,1076,410,41,,Scanned
15.2 :: Howell,N size,12,,,,,,,No appropriate letters,Scanned
15.2 :: Howell,N size,18,,,,,,,No appropriate letters,Scanned
15.2 :: Howell,N size,24,,,,,,,No appropriate letters,Scanned
13 :: HKSPO,M size,0.4,w,4847,1379,4851,1392,13,,Scanned
13 :: HKSPO,M size,0.4,v,4813,1443,4808,1456,13,,Scanned
13 :: HKSPO,M size,0.4,w,4852,1474,4850,1487,13,,Scanned
13 :: HKSPO,M size,0.4,H,4806,1373,4807,1393,20,,Scanned
13 :: HKSPO,M size,0.4,T,5003,1500,5003,1520,20,,Scanned
13 :: HKSPO,M size,0.4,H,4894,1405,4891,1425,20,,Scanned
13 :: HKSPO,M size,0.5,w,4805,1609,4801,1625,16,,Scanned
13 :: HKSPO,M size,0.5,w,5092,1681,5095,1697,16,,Scanned
13 :: HKSPO,M size,0.5,v,4898,1717,4902,1733,16,,Scanned
13 :: HKSPO,M size,0.5,H,5027,1710,5027,1733,23,,Scanned
13 :: HKSPO,M size,0.63,H,5440,1859,5457,1888,29,,Scanned
13 :: HKSPO,M size,0.63,A,5733,2005,5725,2034,29,,Scanned
13 :: HKSPO,M size,0.63,w,5549,1917,5555,1937,20,,Scanned
13 :: HKSPO,M size,0.63,v,4743,1965,4749,1985,20,,Scanned
13 :: HKSPO,M size,0.63,w,4947,2061,4951,2081,20,,Scanned
13 :: HKSPO,M size,0.8,H,4647,2319,4647,2355,36,,Scanned
13 :: HKSPO,M size,0.8,K,4778,2319,4777,2355,36,,Scanned
13 :: HKSPO,M size,0.8,I,4825,2453,4825,2488,35,,Scanned
13 :: HKSPO,M size,0.8,v,5324,2397,5315,2422,25,,Scanned
13 :: HKSPO,M size,0.8,w,4867,2464,4873,2488,24,,Scanned
13 :: HKSPO,M size,0.8,v,5245,2531,5251,2556,25,,Scanned
13 :: HKSPO,M size,1,H,5646,2765,5646,2810,45,,Scanned
13 :: HKSPO,M size,1,A,4826,2930,4833,2976,46,,Scanned
13 :: HKSPO,M size,1,I,5715,3015,5715,3060,45,,Scanned
13 :: HKSPO,M size,1,v,5921,2863,5929,2894,31,,Scanned
13 :: HKSPO,M size,1,v,4558,2946,4567,2977,31,,Scanned
13 :: HKSPO,M size,1,v,4554,3029,4563,3060,31,,Scanned
13 :: HKSPO,M size,1.25,A,4425,3237,4440,3293,56,,Scanned
13 :: HKSPO,M size,1.25,H,5858,3338,5860,3394,56,,Scanned
13 :: HKSPO,M size,1.25,L,4701,3438,4710,3493,55,,Scanned
13 :: HKSPO,M size,1.25,v,5113,3355,5123,3394,39,,Scanned
13 :: HKSPO,M size,1.25,v,5054,3455,5065,3494,39,,Scanned
13 :: HKSPO,M size,1.25,w,5575,3456,5584,3494,38,,Scanned
16 :: Takagi,Decimal @ 40cm,1,w,3731,2033,3736,2048,15,Unclear ,Scanned
16 :: Takagi,Decimal @ 40cm,1,w,3629,2073,3633,2088,15,,Scanned
16 :: Takagi,Decimal @ 40cm,1,w,3782,2074,3786,2088,14,,Scanned
16 :: Takagi,Decimal @ 40cm,0.7,,,,,,,No appropriate letters,Scanned
16 :: Takagi,Decimal @ 40cm,0.6,H,3482,1602,3483,1638,36,,Scanned
16 :: Takagi,Decimal @ 40cm,0.5,T,3381,1353,3390,1395,42,,Scanned
