Tim,,,Coords (top),,Coords (bottom),,,
Chart,Size,Letter,X,Y,X,Y,Height (px),Comments
1 :: Rodenstock,0.1,V,685,323,759,542,219,Using size at 40cm working distance.
1 :: Rodenstock,0.2,V,672,1073,713,1184,111,
1 :: Rodenstock,0.25,x,1013,1591,1013,1656,65,
1 :: Rodenstock,0.25,w,2610,1585,2627,1650,65,
1 :: Rodenstock,0.25,w,1332,1730,1309,1795,65,
1 :: Rodenstock,0.25,W,724,1569,751,1659,90,
1 :: Rodenstock,0.32,v,1400,2174,1381,2226,52,
1 :: Rodenstock,0.32,w,2181,2171,2195,2223,52,
1 :: Rodenstock,0.32,w,2480,2171,2493,2222,51,
1 :: Rodenstock,0.32,W,712,2162,733,2231,69,
1 :: Rodenstock,0.4,v,1083,2884,1069,2925,41,
1 :: Rodenstock,0.4,w,1847,2974,1835,3014,40,
1 :: Rodenstock,0.4,w,2938,2878,2950,2918,40,
1 :: Rodenstock,0.4,F,682,2780,679,2836,56,
1 :: Rodenstock,0.4,W,1791,2866,1806,2921,55,
1 :: Rodenstock,0.5,v,1218,3427,1228,3461,34,
1 :: Rodenstock,0.5,v,1718,3425,1730,3458,33,
1 :: Rodenstock,0.5,v,2470,3422,2481,3456,34,
1 :: Rodenstock,0.5,T,688,3502,688,3547,45,
1 :: Rodenstock,0.63,w,1097,3922,1104,3948,26,
1 :: Rodenstock,0.63,w,1372,3921,1380,3946,25,
1 :: Rodenstock,0.63,v,1360,3980,1368,4005,25,
1 :: Rodenstock,0.63,I,1542,3911,1541,3946,35,
1 :: Rodenstock,0.63,Y,1552,3911,1536,3946,35,
1 :: Rodenstock,0.63,N,1658,3969,1658,4004,35,
1 :: Rodenstock,0.8,v,972,4346,979,4366,20,
1 :: Rodenstock,0.8,w,1581,4343,1587,4364,21,
1 :: Rodenstock,0.8,z,1819,4342,1819,4363,21,
1 :: Rodenstock,0.8,Y,1684,4335,1693,4364,29,
1 :: Rodenstock,0.8,T,826,4393,820,4422,29,
2 :: Silhouette,32pt,w,5579,864,5534,987,123,
2 :: Silhouette,32pt,I,4370,810,4370,986,176,
2 :: Silhouette,32pt,E,5144,807,5144,984,177,
2 :: Silhouette,32pt,M,4517,1059,4531,1236,177,
2 :: Silhouette,16pt,w,5133,1707,5147,1768,61,
2 :: Silhouette,16pt,w,5995,1865,6011,1926,61,
2 :: Silhouette,12pt,v,4678,2065,4691,2111,46,
2 :: Silhouette,12pt,w,4385,2186,4396,2232,46,
2 :: Silhouette,12pt,w,5275,2304,5286,2350,46,
2 :: Silhouette,8pt,w,5645,2802,5653,2833,31,
2 :: Silhouette,8pt,w,5784,2802,5791,2832,30,
2 :: Silhouette,8pt,w,6065,2800,6074,2831,31,
2 :: Silhouette,8pt,I,4320,2711,4320,2756,45,
2 :: Silhouette,8pt,T,4339,2791,4329,2836,45,
2 :: Silhouette,8pt,Y,6379,3105,6395,3149,44,
2 :: Silhouette,6pt,x,4836,3512,4836,3534,22,
2 :: Silhouette,6pt,v,5821,3630,5828,3652,22,
2 :: Silhouette,6pt,w,5135,3632,5141,3655,23,
2 :: Silhouette,6pt,L,4527,3442,4528,3476,34,
2 :: Silhouette,6pt,N,4512,3562,4512,3596,34,
2 :: Silhouette,6pt,T,4322,3743,4322,3777,34,
2 :: Silhouette,5pt,v,4362,4133,4369,4151,18,
2 :: Silhouette,5pt,w,4478,4233,4493,4251,18,
2 :: Silhouette,5pt,w,5216,4281,5221,4300,19,
2 :: Silhouette,5pt,W,5296,4122,5303,4150,28,
2 :: Silhouette,5pt,W,4338,4224,4344,4252,28,
2 :: Silhouette,5pt,T,4332,4274,4332,4302,28,
3 :: Opticare,N32,w,3919,1573,3944,1697,124,
3 :: Opticare,N32,A,5941,1234,5971,1416,182,
3 :: Opticare,N32,I,4717,1514,4716,1693,179,
3 :: Opticare,N20,x,4588,2342,4592,2419,77,
3 :: Opticare,N20,x,5573,2342,5573,2418,76,
3 :: Opticare,N16,v,4145,2772,4128,2836,64,
3 :: Opticare,N16,v,5340,2914,5356,2977,63,
3 :: Opticare,N16,F,3851,2744,3843,2835,91,
3 :: Opticare,N16,A,6374,2739,6390,2831,92,
3 :: Opticare,N12,w,4801,3306,4813,3353,47,
3 :: Opticare,N12,v,6198,3420,6185,3468,48,
3 :: Opticare,N12,v,6514,3420,6523,3468,48,
3 :: Opticare,N12,A,4335,3283,4348,3353,70,
3 :: Opticare,N12,A,3843,3401,3867,3470,69,
3 :: Opticare,N8,w,3829,3845,3839,3878,33,
3 :: Opticare,N8,v,4930,3844,4938,3877,33,
3 :: Opticare,N8,v,4503,3762,4492,3794,32,
3 :: Opticare,N8,W,3815,3748,3829,3796,48,
3 :: Opticare,N8,A,6284,3745,6299,3792,47,
3 :: Opticare,N6,w,4541,4148,4532,4174,26,
3 :: Opticare,N5,v,3879,4406,3883,4428,22,
3 :: Opticare,N5,w,4058,4406,4063,4428,22,
3 :: Opticare,N5,v,4804,4405,4811,4426,21,
3 :: Opticare,N5,I,3817,4397,3812,4428,31,
4 :: Varilux,N18,w,5529,1572,5547,1650,78,
4 :: Varilux,N18,w,6372,1935,6398,2013,78,
4 :: Varilux,N18,v,5026,2675,5051,2753,78,
4 :: Varilux,N18,W,4362,1545,4337,1653,108,
4 :: Varilux,N18,N,6257,1906,6259,2014,108,
4 :: Varilux,N18,Y,5773,2276,5737,2384,108,
4 :: Varilux,N10,w,4498,3042,4513,3086,44,
4 :: Varilux,N10,w,4834,3242,4848,3285,43,
4 :: Varilux,N10,w,5545,2939,5557,2983,44,
4 :: Varilux,N10,K,4238,2927,4238,2987,60,
4 :: Varilux,N10,A,6227,2919,6296,2980,61,
4 :: Varilux,N8,v,4328,3550,4340,3585,35,
4 :: Varilux,N8,w,5065,3714,5075,3749,35,
4 :: Varilux,N8,v,5717,3629,5705,3664,35,
4 :: Varilux,N8,K,6277,3446,2676,3493,47,
4 :: Varilux,N8,T,4834,3702,4834,3749,47,
4 :: Varilux,N8,N,4268,3453,4268,3501,48,
4 :: Varilux,N6,w,4312,4007,4319,4033,26,
4 :: Varilux,N6,w,4374,4006,4364,4033,27,
4 :: Varilux,N6,w,5140,4138,5148,4164,26,
4 :: Varilux,N6,T,4937,4061,4937,4097,36,
4 :: Varilux,N6,N,4259,3997,4259,4033,36,
4 :: Varilux,N5,w,4311,4375,4318,4397,22,
4 :: Varilux,N5,w,5000,4323,5006,4345,22,
4 :: Varilux,N5,x,5928,4319,5928,4341,22,
4 :: Varilux,N5,W,4248,4317,4238,4348,31,
4 :: Varilux,N5,Y,4586,4366,4597,4396,30,
5 :: Transitions,32pt,L,4392,858,4412,1035,177,
5 :: Transitions,20pt,w,4962,1858,4982,1935,77,
5 :: Transitions,20pt,F,4376,1456,4376,1567,111,
5 :: Transitions,20pt,T,4382,1640,4382,1750,110,
5 :: Transitions,20pt,L,5145,1639,5145,1749,110,
5 :: Transitions,16pt,w,4144,2399,4393,2461,62,
5 :: Transitions,16pt,w,4377,2543,4392,2604,61,
5 :: Transitions,12pt,v,6364,2764,6347,2811,47,
5 :: Transitions,12pt,L,4818,2863,4833,2930,67,
5 :: Transitions,12pt,I,5060,2863,5060,2930,67,
5 :: Transitions,12pt,L,5495,2863,5495,2929,66,
5 :: Transitions,8pt,w,4397,3266,4405,3296,30,
5 :: Transitions,8pt,v,6412,3185,6420,3216,31,
5 :: Transitions,8pt,v,6485,3335,6494,3366,31,
5 :: Transitions,8pt,T,6465,3246,6465,3290,44,
5 :: Transitions,8pt,V,4976,3325,4990,3371,46,
5 :: Transitions,8pt,T,4344,3176,4344,3221,45,
5 :: Transitions,6pt,w,4498,3582,4504,3605,23,
5 :: Transitions,6pt,v,5285,3581,5291,3604,23,
5 :: Transitions,6pt,w,5090,3762,5097,3784,22,
5 :: Transitions,6pt,L,5660,3570,5674,3604,34,
5 :: Transitions,6pt,E,5700,3569,5700,3603,34,
5 :: Transitions,6pt,I,5985,3628,5985,3662,34,
5 :: Transitions,5pt,v,4925,4010,4929,4029,19,
5 :: Transitions,5pt,x,5176,4060,5176,4079,19,
5 :: Transitions,5pt,v,6383,4056,6388,4076,20,
5 :: Transitions,5pt,X,6072,3948,6072,3976,28,
5 :: Transitions,5pt,T,6109,3948,6109,3976,28,
5 :: Transitions,5pt,V,5926,4099,5935,4127,28,
6 :: Magnifiers Australia,N96,w,732,2227,609,2598,371,
6 :: Magnifiers Australia,N96,N,336,455,343,986,531,
6 :: Magnifiers Australia,N48,v,2883,3911,2917,4097,186,
6 :: Magnifiers Australia,N48,w,2331,4710,2301,4896,186,
6 :: Magnifiers Australia,N48,w,3534,4712,3558,4898,186,
6 :: Magnifiers Australia,N40,w,2584,6110,2687,6265,155,
6 :: Magnifiers Australia,N40,M,2784,5373,2833,5595,222,
6 :: Magnifiers Australia,N32,v,9009,726,9023,850,124,
6 :: Magnifiers Australia,N32,w,6742,1261,6725,1386,125,
6 :: Magnifiers Australia,N32,M,6625,671,6649,849,178,
6 :: Magnifiers Australia,N24,w,8374,1736,8343,1829,93,
6 :: Magnifiers Australia,N24,w,8860,1734,8836,1827,93,
6 :: Magnifiers Australia,N24,w,8537,2737,8505,2829,92,
6 :: Magnifiers Australia,N24,T,7893,1694,7893,1827,133,
6 :: Magnifiers Australia,N24,I,6472,2696,6472,2829,133,
6 :: Magnifiers Australia,N24,E,5260,1696,5200,1830,134,
6 :: Magnifiers Australia,N16,w,7876,3650,7898,3712,62,
6 :: Magnifiers Australia,N16,w,7274,3784,7256,3846,62,
